asset_wind_code | asset_name | record_count
300054.SZ | 鼎龙股份 | 111
  ... | ST华通 | 2
300083.SZ | 创世纪 | 9
300115.SZ | 环旭电子 | 1
300124.SZ | 汇川技术 | 39
300166.SZ | N大普微 | 1
300207.SZ | 欣旺达 | 107
300246.SZ | 宝莱特 | 4
300274.SZ | 阳光电源 | 208
300285.SZ | 国瓷材料 | 105
  ... | 雅克科技 | 1
300308.SZ | 中际旭创 | 193
300309.SZ | 新易盛 | 1
300316.SZ | 晶盛机电 | 183
300359.SZ | 药明康德 | 1
300394.SZ | 天孚通信 | 56
300395.SZ | 菲利华 | 5
300398.SZ | 飞凯材料 | 6
300432.SZ | 富临精工 | 51
300436.SZ | 广生堂 | 9
300438.SZ | 鹏辉能源 | 5
300442.SZ | 润泽科技 | 8
300443.SZ | 金雷股份 | 97
300476.SZ | 胜宏科技 | 36
300487.SZ | 蓝晓科技 | 50
300502.SZ | 新易盛 | 185
300558.SZ | 圣泉集团 | 1
300567.SZ | 精测电子 | 121
300568.SZ | 星源材质 | 13
300570.SZ | 太辰光 | 6
300602.SZ | 飞荣达 | 5
300666.SZ | 江丰电子 | 43
300672.SZ | 国科微 | 27
300677.SZ | 英科医疗 | 24
  ... | 盈科医疗 | 1
300723.SZ | 一品红 | 20
300724.SZ | 捷佳伟创 | 2
300732.SZ | 爱旭股份 | 1
300747.SZ | 锐科激光 | 6
300750.SZ | 宁德时代 | 486
300751.SZ | 迈为股份 | 3
300757.SZ | 罗博特科 | 6
300763.SZ | 锦浪科技 | 57
  ... | 东方通 | 1
  ... | 银浪科技 | 1
300776.SZ | 帝尔激光 | 203
300782.SZ | 卓胜微 | 3
300820.SZ | 英杰电气 | 24
300850.SZ | 新强联 | 17
300900.SZ | 广联航空 | 6
301150.SZ | 中一科技 | 56
  ... | 兖煤澳大利亚 | 1
  ... | 第一科技 | 1
301188.SZ | 力诺药包 | 11
  ... | 力诺特玻 | 6
  ... | 力诺特包 | 3
  ... | 力诺特新 | 2
  ... | 力诺特药 | 2
  ... | 力诺特股 | 1
  ... | 力诺特瑞 | 1
301217.SZ | 铜冠铜箔 | 6
301232.SZ | 飞沃科技 | 3
301338.SZ | 凯格精机 | 1
301358.SZ | 湖南裕能 | 7
301363.SZ | 美好医疗 | 3
301486.SZ | 致尚科技 | 14
301513.SZ | 尚水智能 | 5
301666.SZ | 大普微 | 31
  ... | C大普微 | 3
  ... | C大微普 | 1
301683.SZ | 慧谷新材 | 6
301696.SZ | 三瑞智能 | 7
3323.HK | 中国建材 | 72
3668.HK | 兖煤澳大利亚 | 57
3690.HK | 美团-W | 102
3738.HK | 阜博集团 | 17
3800.HK | 协鑫科技 | 38
3858.HK | 佳鑫国际资源 | 57
3899.HK | 中集安瑞科 | 46
3900.HK | 绿城中国 | 66
3908.HK | 中金公司 | 7
3933.HK | 联邦制药 | 119
3958.HK | 东方证券 | 126
3988.HK | 中国银行 | 88
600000.SH | 浦发银行 | 40
600010.SH | 包钢股份 | 12
600026.SH | 中远海能 | 28
  ... | 恒力石化 | 1
600029.SH | 南方航空 | 41
600030.SH | 中信证券 | 27
600031.SH | 三一重工 | 180
600050.SH | 天孚通信 | 1
600066.SH | 宇通客车 | 76
  ... | 福耀玻璃 | 1
600073.SH | 西藏城投 | 1
600078.SH | 澄星股份 | 19
600089.SH | 特变电工 | 100
  ... | 伊戈尔 | 1
  ... | 隆鑫通用 | 1
600111.SH | 北方稀土 | 49
600115.SH | 中国东航 | 49
600141.SH | 兴发集团 | 71
  ... | 兴业集团 | 1
600150.SH | 中国船舶 | 45
600176.SH | 中国巨石 | 49
600185.SH | 珠免集团 | 16
